PCB_ID,Layer_Count,Clock_Frequency_MHz,Rise_Time_ns,Signal_GND_Distance_mm,Trace_Length_mm,Stub_Length_mm,Differential_Pair_Symmetry,Ground_Plane,Shielding,Switching_Regulator,EMI_Score,Result
PCB_0062,6,312,2.29,1.64,67,5.66,80.2,0,0,1,100,FAIL
PCB_0063,2,216,7.44,0.59,230,8.78,93.0,0,0,1,85,FAIL
PCB_0064,2,238,1.98,0.82,158,5.58,90.2,0,0,0,100,FAIL
PCB_0065,6,587,2.73,2.53,129,9.6,88.9,1,0,1,80,FAIL
PCB_0066,4,84,9.65,1.13,202,0.49,99.3,1,1,0,35,PASS
PCB_0067,8,444,2.93,2.5,47,0.98,91.4,1,0,1,65,FAIL
PCB_0068,2,112,6.79,2.16,216,0.44,97.3,1,0,0,55,PASS
PCB_0069,8,431,9.8,0.61,210,1.85,82.8,1,0,1,60,FAIL
PCB_0070,4,315,4.06,1.57,70,5.41,91.4,0,1,0,90,FAIL
PCB_0071,4,107,0.67,2.06,168,6.46,97.4,0,1,0,85,FAIL
PCB_0072,4,344,2.82,0.78,287,0.46,91.7,1,0,1,70,FAIL
PCB_0073,2,444,8.39,2.51,69,9.46,94.4,0,1,1,105,FAIL
PCB_0074,4,456,8.71,1.68,265,8.42,87.4,0,0,0,110,FAIL
PCB_0075,2,317,7.8,0.58,132,2.97,81.8,0,1,1,80,FAIL
PCB_0076,4,258,1.57,1.79,189,0.77,89.2,0,0,0,95,FAIL
PCB_0077,8,175,8.06,3.0,185,1.7,87.9,1,1,1,40,PASS
PCB_0078,8,490,9.23,0.54,33,1.27,97.3,0,1,1,50,PASS
PCB_0079,6,344,6.21,2.47,222,1.23,84.9,1,1,0,65,FAIL
PCB_0080,8,551,9.44,0.7,208,5.19,99.3,1,0,1,60,FAIL
PCB_0081,6,115,8.35,2.37,174,2.46,99.2,0,0,1,65,FAIL
PCB_0082,8,572,6.84,2.23,74,3.58,85.0,1,0,0,60,FAIL
PCB_0083,2,90,5.98,0.97,201,9.9,87.0,0,1,0,70,FAIL
PCB_0084,8,142,3.81,1.04,229,6.84,97.9,0,1,1,60,FAIL
PCB_0085,6,147,2.01,2.4,94,9.49,99.3,0,0,0,60,FAIL
PCB_0086,6,193,6.25,1.44,296,1.43,88.9,1,1,1,45,PASS
PCB_0087,4,410,3.52,2.22,152,3.82,86.4,1,0,1,85,FAIL
PCB_0088,2,339,8.73,0.53,78,5.55,90.5,1,0,0,75,FAIL
PCB_0089,8,517,9.94,2.57,201,0.77,93.8,0,0,0,90,FAIL
PCB_0090,4,78,7.65,2.16,83,0.04,85.5,0,0,0,65,FAIL
PCB_0091,8,555,1.36,2.73,279,6.7,94.7,0,1,0,110,FAIL
PCB_0092,8,62,3.24,0.48,212,6.42,81.0,1,1,0,30,PASS
PCB_0093,4,459,1.54,1.82,162,4.11,81.0,0,1,0,110,FAIL
PCB_0094,4,214,6.68,1.84,123,4.9,87.7,0,0,1,70,FAIL
PCB_0095,4,135,7.77,1.13,233,4.15,87.1,1,1,1,50,PASS
PCB_0096,4,52,9.29,1.43,261,0.24,86.3,1,0,0,55,PASS
PCB_0097,4,120,4.66,0.21,228,3.35,89.8,1,0,1,45,PASS
PCB_0098,8,192,9.06,2.26,112,1.77,86.4,0,0,1,60,FAIL
PCB_0099,4,104,8.84,1.69,161,0.98,83.8,0,0,1,80,FAIL
PCB_0100,2,383,3.51,0.27,131,9.57,86.2,0,0,1,100,FAIL
PCB_0101,6,529,8.75,2.07,78,5.99,99.5,1,0,0,65,FAIL
PCB_0102,4,369,4.07,1.45,62,7.29,88.2,1,1,1,75,FAIL
PCB_0103,4,290,3.32,0.2,226,3.15,88.9,1,1,1,35,PASS
PCB_0104,8,204,6.67,2.91,287,3.93,91.5,1,1,0,35,PASS
PCB_0105,4,204,3.62,2.85,137,2.37,99.7,0,1,0,45,PASS
PCB_0106,4,102,6.49,1.59,39,0.97,84.8,0,0,0,65,FAIL
PCB_0107,4,70,6.29,0.37,241,1.79,93.6,0,0,0,60,FAIL
PCB_0108,8,60,5.85,2.29,185,7.98,94.3,0,1,1,70,FAIL
PCB_0109,4,412,4.11,1.53,150,6.78,92.1,0,1,0,90,FAIL
PCB_0110,6,14,5.71,0.98,175,5.47,81.8,0,1,1,60,FAIL
PCB_0111,8,475,6.17,1.53,203,4.75,93.5,0,1,1,85,FAIL
PCB_0112,6,543,5.68,1.62,109,9.22,81.3,0,1,0,85,FAIL
PCB_0113,8,414,4.72,1.73,113,0.73,91.9,1,1,0,50,PASS
PCB_0114,4,522,0.64,1.38,32,2.81,94.8,1,1,0,80,FAIL
PCB_0115,6,242,6.08,1.86,249,3.5,84.2,0,1,0,60,FAIL
PCB_0116,8,533,2.1,2.76,45,7.82,96.8,1,0,0,60,FAIL
PCB_0117,2,355,6.6,1.15,94,9.93,80.6,0,0,0,110,FAIL
PCB_0118,4,55,7.71,2.2,169,2.41,96.9,0,0,1,70,FAIL
PCB_0119,8,555,5.25,2.69,167,8.74,89.2,1,0,1,85,FAIL
PCB_0120,2,87,5.65,1.42,27,8.31,84.4,0,1,1,80,FAIL
PCB_0121,8,82,9.54,1.39,48,2.25,82.7,0,0,1,60,FAIL
PCB_0122,2,258,8.55,1.85,228,3.99,99.1,0,1,0,65,FAIL
PCB_0123,4,56,9.19,1.82,147,4.1,81.5,0,0,0,65,FAIL
PCB_0124,6,130,8.23,2.44,135,9.78,84.0,0,1,1,65,FAIL
PCB_0125,2,223,1.53,1.48,163,1.81,87.0,0,1,1,100,FAIL
PCB_0126,8,248,1.92,2.99,254,7.99,92.4,0,0,1,100,FAIL
PCB_0127,4,65,5.5,0.27,26,3.34,90.9,1,0,0,30,PASS
PCB_0128,2,359,2.84,0.11,64,7.31,82.5,1,1,0,65,FAIL
PCB_0129,8,116,5.03,1.96,258,4.2,85.8,0,1,0,55,PASS
PCB_0130,8,57,4.25,0.97,174,5.78,84.8,1,1,1,35,PASS
PCB_0131,8,582,5.72,0.8,200,8.33,84.3,0,0,1,90,FAIL
PCB_0132,2,346,7.6,1.0,234,8.04,88.2,0,0,0,105,FAIL
PCB_0133,2,35,7.3,0.84,107,8.66,94.1,0,1,0,60,FAIL
PCB_0134,2,266,5.45,0.19,275,0.6,84.3,0,0,1,75,FAIL
PCB_0135,6,17,8.31,2.92,92,6.92,87.3,1,1,1,45,PASS
PCB_0136,2,262,4.59,0.74,198,1.4,87.8,1,0,0,50,PASS
PCB_0137,2,312,9.02,2.23,231,4.16,99.5,1,0,1,85,FAIL
PCB_0138,2,65,1.18,2.31,253,5.49,99.1,1,0,0,85,FAIL
PCB_0139,6,535,9.57,2.79,258,4.03,96.0,0,0,0,85,FAIL
PCB_0140,2,483,6.72,0.19,242,5.2,84.8,1,0,1,90,FAIL
PCB_0141,8,37,4.11,2.63,138,9.97,81.4,0,1,1,60,FAIL
PCB_0142,2,87,2.37,1.63,283,1.35,86.3,0,1,1,80,FAIL
PCB_0143,8,225,5.05,1.93,226,6.75,85.3,1,0,0,55,PASS
PCB_0144,8,395,2.35,1.97,114,3.96,90.1,0,1,1,75,FAIL
PCB_0145,8,374,2.08,2.48,241,1.33,95.6,1,1,1,55,PASS
PCB_0146,6,535,6.36,1.07,295,1.59,97.2,1,0,0,65,FAIL
PCB_0147,6,321,5.47,2.23,250,9.49,96.9,1,1,0,65,FAIL
PCB_0148,6,16,6.87,1.63,138,8.8,87.2,1,0,1,55,PASS
PCB_0149,2,12,9.33,2.4,287,9.07,93.7,1,1,0,65,FAIL
PCB_0150,8,372,5.56,2.97,292,9.92,86.3,0,1,0,90,FAIL
PCB_0151,6,517,6.02,0.68,83,2.08,81.2,1,1,0,40,PASS
PCB_0152,6,283,1.35,2.98,30,3.55,94.0,1,1,1,55,PASS
PCB_0153,2,515,7.32,0.36,117,6.69,80.2,0,1,1,90,FAIL
PCB_0154,6,24,4.3,0.11,90,4.84,88.2,1,1,0,15,PASS
PCB_0155,2,201,9.78,0.23,77,4.18,86.6,1,1,0,30,PASS
PCB_0156,4,494,8.32,1.09,270,3.58,93.9,0,0,0,100,FAIL
PCB_0157,6,37,5.46,1.94,295,5.94,95.3,0,0,1,75,FAIL
PCB_0158,4,48,1.67,0.3,69,5.76,86.1,1,0,0,60,FAIL
PCB_0159,2,282,8.66,0.12,235,1.61,96.2,0,0,0,60,FAIL
PCB_0160,8,240,8.1,2.82,71,4.72,85.9,1,1,1,30,PASS
PCB_0161,6,95,2.25,2.48,290,5.53,88.9,0,1,0,70,FAIL
PCB_0162,2,483,3.31,2.45,103,5.7,94.5,1,1,1,85,FAIL
PCB_0163,8,135,8.04,2.66,145,2.1,93.9,1,0,1,40,PASS
PCB_0164,8,546,2.26,2.13,91,7.42,99.7,1,0,1,65,FAIL
PCB_0165,4,154,9.22,0.4,255,0.25,84.5,0,0,0,60,FAIL
PCB_0166,2,534,4.53,1.26,75,3.55,93.2,1,1,0,70,FAIL
PCB_0167,8,221,1.33,2.2,129,7.8,92.2,0,0,1,90,FAIL
PCB_0168,6,34,8.25,0.91,211,5.64,98.3,1,1,0,25,PASS
PCB_0169,6,589,4.05,2.09,112,2.61,83.1,1,0,1,70,FAIL
PCB_0170,4,403,5.5,0.17,75,6.95,95.0,1,1,0,45,PASS
PCB_0171,8,76,1.57,0.99,79,5.67,91.4,1,0,1,55,PASS
PCB_0172,2,242,0.52,1.69,157,7.96,85.5,1,1,1,90,FAIL
PCB_0173,6,118,6.56,1.93,58,7.35,89.5,0,0,0,70,FAIL
PCB_0174,8,155,5.39,1.77,47,6.1,86.7,0,0,0,65,FAIL
PCB_0175,8,120,6.14,2.12,68,4.88,91.6,0,1,0,45,PASS
PCB_0176,4,237,8.04,0.12,144,1.33,97.8,1,1,0,10,PASS
PCB_0177,6,120,6.64,0.39,32,2.61,91.4,1,0,1,30,PASS
PCB_0178,6,479,2.16,2.62,55,4.19,92.6,0,1,1,80,FAIL
PCB_0179,2,43,3.93,2.08,120,5.99,90.4,1,0,0,65,FAIL
PCB_0180,6,378,9.11,0.43,105,5.14,81.0,1,1,0,50,PASS
PCB_0181,2,563,7.81,2.54,23,2.88,84.7,1,0,1,85,FAIL
PCB_0182,6,434,5.79,0.8,242,0.06,89.8,0,1,0,70,FAIL
PCB_0183,4,527,2.93,1.49,185,4.96,86.2,0,0,0,100,FAIL
PCB_0184,6,291,3.37,0.52,297,2.86,83.6,0,0,0,55,PASS
PCB_0185,2,329,7.45,2.16,149,7.35,90.1,0,0,0,110,FAIL
PCB_0186,2,452,8.59,2.03,50,0.24,86.5,0,1,1,95,FAIL
PCB_0187,4,324,6.88,0.71,30,5.85,85.2,1,0,1,70,FAIL
PCB_0188,6,386,8.19,2.6,115,9.41,89.3,1,1,0,65,FAIL
PCB_0189,6,298,7.78,1.26,209,1.74,82.7,1,1,1,45,PASS
PCB_0190,4,446,1.92,0.95,211,4.72,98.6,1,1,0,65,FAIL
PCB_0191,6,286,4.53,0.54,285,0.91,97.4,0,0,0,45,PASS
PCB_0192,6,591,1.95,0.87,147,6.26,94.2,0,1,0,90,FAIL
PCB_0193,2,512,2.73,0.16,257,5.51,82.1,1,1,1,80,FAIL
PCB_0194,6,525,8.76,1.79,131,4.07,95.5,0,1,1,70,FAIL
PCB_0195,6,359,4.99,2.54,164,5.21,96.2,1,0,1,80,FAIL
PCB_0196,4,455,5.59,1.69,84,8.97,95.4,1,1,1,65,FAIL
PCB_0197,4,359,2.2,0.74,266,1.96,82.3,1,1,1,60,FAIL
PCB_0198,8,146,3.47,0.2,242,0.23,92.9,1,1,0,20,PASS
PCB_0199,2,252,2.69,0.72,125,8.62,96.7,0,1,0,50,PASS
PCB_0200,6,552,2.46,1.31,200,5.77,91.5,1,0,1,90,FAIL
PCB_0201,6,49,6.56,2.3,203,8.91,92.9,0,0,1,85,FAIL
PCB_0202,8,238,2.94,0.64,245,5.97,89.2,1,1,1,35,PASS
PCB_0203,6,557,6.5,2.19,284,8.1,90.6,1,1,0,75,FAIL
PCB_0204,2,232,1.06,2.61,297,4.3,80.7,1,1,1,80,FAIL
PCB_0205,8,15,1.85,1.42,108,7.5,92.8,1,1,0,55,PASS
PCB_0206,2,331,3.11,2.48,195,9.13,81.6,0,0,0,120,FAIL
PCB_0207,8,477,6.17,1.71,37,5.72,88.7,1,0,1,75,FAIL
PCB_0208,8,84,6.92,1.95,125,1.81,85.9,0,0,0,55,PASS
PCB_0209,4,13,4.71,1.63,290,2.69,90.9,1,0,0,55,PASS
PCB_0210,2,127,4.74,1.44,186,1.99,82.7,1,1,1,60,FAIL
PCB_0211,6,513,7.38,0.78,32,2.47,93.8,1,1,0,40,PASS
PCB_0212,6,583,0.65,0.98,51,3.06,95.9,0,0,1,85,FAIL
PCB_0213,2,450,3.74,0.94,59,5.55,83.3,1,0,0,75,FAIL
PCB_0214,6,203,8.28,1.73,167,5.88,82.1,1,1,1,55,PASS
PCB_0215,6,401,6.23,0.45,237,4.26,82.9,1,1,1,55,PASS
PCB_0216,2,35,3.7,2.76,238,6.15,97.5,1,1,0,55,PASS
PCB_0217,8,444,9.1,2.19,101,0.82,90.6,1,1,1,55,PASS
PCB_0218,2,182,7.84,1.26,227,0.88,89.3,0,1,0,75,FAIL
PCB_0219,8,309,3.02,0.56,220,1.72,82.1,0,0,0,75,FAIL
PCB_0220,6,335,6.63,2.66,57,5.18,93.0,1,0,1,80,FAIL
PCB_0221,6,419,6.16,2.49,230,2.14,97.4,1,1,0,55,PASS
PCB_0222,6,127,4.31,2.19,268,2.83,96.6,0,1,1,55,PASS
PCB_0223,4,234,3.99,0.89,246,4.0,92.5,1,0,0,40,PASS
PCB_0224,8,541,3.76,1.27,67,8.12,81.5,0,1,0,80,FAIL
PCB_0225,4,122,6.36,0.4,37,0.14,82.2,1,0,1,35,PASS
PCB_0226,4,149,4.7,0.65,215,6.49,81.0,1,0,0,50,PASS
PCB_0227,2,568,8.4,2.37,206,6.69,85.1,0,0,0,120,FAIL
PCB_0228,4,10,6.86,2.17,243,7.99,82.7,1,0,0,65,FAIL
PCB_0229,2,99,1.16,1.82,248,9.33,85.2,0,1,0,105,FAIL
PCB_0230,2,329,6.58,2.7,96,0.2,87.7,0,1,0,90,FAIL
PCB_0231,4,559,3.08,1.79,207,1.54,98.9,0,0,0,90,FAIL
PCB_0232,8,148,6.13,1.45,289,8.86,92.2,1,1,0,45,PASS
PCB_0233,8,520,6.96,1.09,114,4.59,96.7,0,1,0,60,FAIL
PCB_0234,8,268,2.69,2.83,151,5.65,94.2,0,1,1,70,FAIL
PCB_0235,8,19,4.84,0.34,58,6.63,82.3,1,1,0,20,PASS
PCB_0236,8,270,2.31,2.8,91,6.79,94.7,1,0,0,45,PASS
PCB_0237,4,181,1.0,2.5,179,9.32,85.5,1,1,1,80,FAIL
PCB_0238,4,22,4.1,0.48,206,9.97,92.8,1,0,1,55,PASS
PCB_0239,6,177,3.95,1.74,210,7.2,86.8,1,0,1,65,FAIL
PCB_0240,8,330,9.96,2.61,139,2.87,100.0,1,1,0,40,PASS
PCB_0241,4,328,4.74,1.76,239,8.8,85.3,0,0,1,115,FAIL
PCB_0242,6,338,3.67,2.73,72,0.49,85.6,1,1,1,60,FAIL
PCB_0243,8,559,6.01,2.83,241,2.31,98.6,0,1,0,70,FAIL
PCB_0244,2,428,1.34,1.32,150,8.97,80.5,1,0,0,110,FAIL
PCB_0245,6,104,9.64,1.19,256,2.56,93.9,0,1,1,65,FAIL
PCB_0246,4,590,6.53,2.82,265,2.21,94.5,0,0,1,105,FAIL
PCB_0247,2,327,7.67,2.06,245,1.38,96.7,1,0,0,80,FAIL
PCB_0248,2,245,2.12,0.44,227,8.59,99.5,1,1,0,40,PASS
PCB_0249,2,343,4.39,0.22,115,5.0,99.5,0,1,0,65,FAIL
PCB_0250,6,385,4.52,1.74,219,6.75,81.3,1,1,0,75,FAIL
PCB_0251,4,468,8.31,2.8,266,2.39,96.4,1,0,0,70,FAIL
PCB_0252,2,146,0.51,2.55,91,7.58,92.9,0,1,1,100,FAIL
PCB_0253,8,597,3.36,2.06,204,7.6,92.9,0,0,0,100,FAIL
PCB_0254,2,556,9.82,0.5,25,3.13,82.6,0,0,0,85,FAIL
PCB_0255,2,522,5.01,0.84,225,4.11,93.0,1,1,0,65,FAIL
PCB_0256,6,305,4.13,2.64,51,2.1,99.6,1,1,0,45,PASS
PCB_0257,6,329,1.64,0.63,118,9.77,98.2,1,1,0,60,FAIL
PCB_0258,4,581,9.75,0.91,275,6.46,88.8,1,0,1,80,FAIL
PCB_0259,8,358,0.69,0.48,206,9.35,80.8,0,1,0,95,FAIL
PCB_0260,6,238,7.5,2.06,95,3.03,87.2,1,0,1,45,PASS
PCB_0261,2,279,7.8,2.84,196,7.82,96.5,0,1,0,75,FAIL
PCB_0262,4,300,2.81,0.88,274,7.66,94.0,1,1,1,45,PASS
PCB_0263,2,174,6.88,1.48,209,6.92,89.2,1,0,1,80,FAIL
PCB_0264,2,14,1.38,1.94,146,9.66,81.1,0,0,0,105,FAIL
PCB_0265,6,388,2.94,3.0,273,3.94,88.5,1,1,0,65,FAIL
PCB_0266,4,87,7.99,0.4,232,1.31,89.4,1,1,0,30,PASS
PCB_0267,8,419,8.71,1.55,269,6.72,98.6,0,1,0,80,FAIL
PCB_0268,8,583,6.28,1.22,103,7.29,92.8,1,1,0,60,FAIL
PCB_0269,6,141,5.31,2.61,32,5.75,86.2,0,1,1,65,FAIL
PCB_0270,6,51,2.01,1.48,64,2.07,90.5,0,0,0,60,FAIL
PCB_0271,4,98,1.1,0.42,146,5.04,81.3,0,0,0,80,FAIL
PCB_0272,8,411,1.62,1.94,133,3.12,99.5,0,0,1,95,FAIL
PCB_0273,8,305,2.66,2.34,295,4.27,87.2,1,0,0,70,FAIL
PCB_0274,8,304,3.75,0.11,224,6.45,89.6,1,1,1,60,FAIL
PCB_0275,2,535,4.12,2.59,292,7.45,87.1,1,0,0,100,FAIL
PCB_0276,8,431,3.79,0.64,77,2.32,93.7,0,0,1,70,FAIL
PCB_0277,2,32,2.77,1.7,238,4.05,93.2,1,0,0,65,FAIL
PCB_0278,4,584,5.34,1.31,128,2.69,94.3,1,1,1,65,FAIL
PCB_0279,2,152,8.34,2.19,298,1.99,85.4,1,0,1,70,FAIL
PCB_0280,4,154,3.16,1.18,193,7.83,86.3,1,1,0,55,PASS
PCB_0281,8,234,9.45,2.62,283,9.09,82.5,0,0,0,75,FAIL
PCB_0282,8,512,8.8,2.22,130,3.7,93.1,0,1,0,70,FAIL
PCB_0283,4,113,2.04,1.98,206,7.51,80.8,1,0,1,70,FAIL
PCB_0284,6,48,7.97,2.41,288,8.97,92.0,0,1,1,75,FAIL
PCB_0285,4,207,5.96,2.29,248,8.46,97.4,1,0,1,60,FAIL
PCB_0286,6,588,5.88,0.2,175,1.83,97.8,1,1,0,40,PASS
PCB_0287,2,400,4.21,1.24,208,9.56,89.0,1,1,0,90,FAIL
PCB_0288,2,188,5.26,2.8,291,3.77,89.2,0,0,1,90,FAIL
PCB_0289,2,563,4.27,0.46,21,3.39,81.5,1,1,0,55,PASS
PCB_0290,8,457,5.63,2.24,265,0.62,93.4,0,1,1,85,FAIL
PCB_0291,2,509,6.47,2.93,229,4.86,96.4,0,0,0,100,FAIL
PCB_0292,6,24,6.91,0.25,32,1.09,84.9,1,0,0,25,PASS
PCB_0293,2,298,5.56,2.08,115,2.49,88.4,0,1,1,70,FAIL
PCB_0294,4,487,7.35,1.46,240,3.17,96.8,0,0,0,90,FAIL
PCB_0295,4,240,1.84,1.78,257,8.09,97.5,1,0,0,75,FAIL
PCB_0296,8,429,2.51,0.35,113,8.75,84.9,0,0,0,75,FAIL
PCB_0297,4,166,8.28,0.22,288,3.02,91.0,0,1,0,50,PASS
PCB_0298,6,559,3.56,2.03,190,8.59,83.8,1,1,0,75,FAIL
PCB_0299,2,450,0.72,2.49,113,8.57,82.0,1,1,1,105,FAIL
PCB_0300,8,106,1.96,2.37,168,7.65,98.2,0,1,0,75,FAIL
PCB_0301,2,420,2.62,1.68,131,1.47,96.4,1,1,1,65,FAIL
PCB_0302,2,298,9.59,0.39,74,6.9,95.2,1,1,0,30,PASS
PCB_0303,6,263,5.94,2.1,135,9.45,81.0,0,1,0,60,FAIL
PCB_0304,4,205,9.36,0.8,162,6.83,96.9,0,0,1,65,FAIL
PCB_0305,4,531,5.96,2.74,220,3.32,88.8,1,1,1,75,FAIL
PCB_0306,2,526,5.05,2.53,199,5.01,86.8,0,1,0,110,FAIL
PCB_0307,8,127,3.48,2.16,221,6.46,90.9,1,0,0,55,PASS
PCB_0308,4,168,6.26,2.85,72,5.11,81.8,1,0,1,60,FAIL
PCB_0309,8,237,1.82,0.19,199,1.2,95.1,0,0,1,65,FAIL
PCB_0310,4,225,9.03,2.23,156,3.12,91.6,0,1,1,70,FAIL
PCB_0311,8,24,8.38,1.06,201,8.02,83.7,1,0,1,60,FAIL
PCB_0312,6,166,3.52,2.73,20,8.61,83.8,1,1,0,40,PASS
PCB_0313,8,270,9.55,0.87,63,1.37,83.7,1,1,0,10,PASS
PCB_0314,6,166,8.34,2.2,246,9.52,81.1,1,1,0,50,PASS
PCB_0315,6,56,6.83,2.65,117,3.29,91.8,0,0,0,60,FAIL
PCB_0316,8,333,1.66,0.22,227,6.62,96.8,1,0,0,75,FAIL
PCB_0317,6,139,5.04,1.25,284,7.52,80.3,0,1,1,75,FAIL
PCB_0318,2,420,5.31,2.31,290,8.12,81.0,0,1,1,115,FAIL
PCB_0319,6,104,2.71,1.42,159,9.46,91.5,1,1,1,55,PASS
PCB_0320,4,301,1.26,0.88,256,3.13,96.4,0,0,0,95,FAIL
PCB_0321,8,292,7.88,0.74,91,8.59,86.5,0,1,1,45,PASS
PCB_0322,2,78,1.66,0.48,174,1.32,87.0,1,0,0,70,FAIL
PCB_0323,8,20,6.15,2.59,209,7.05,91.9,0,1,0,65,FAIL
PCB_0324,4,263,9.4,1.77,287,7.42,85.5,0,0,0,85,FAIL
PCB_0325,4,559,8.82,0.32,126,6.78,80.5,1,1,1,60,FAIL
PCB_0326,4,143,3.14,1.21,251,2.52,94.7,1,0,0,55,PASS
PCB_0327,6,32,8.59,1.17,61,8.73,92.5,1,0,0,50,PASS
PCB_0328,6,355,0.5,0.63,209,1.69,91.6,1,0,1,85,FAIL
PCB_0329,8,311,0.67,1.36,158,0.54,94.8,1,0,0,90,FAIL
PCB_0330,8,372,6.22,1.06,122,7.17,93.5,1,0,1,75,FAIL
